function,time,time2,Good_J,Good_NJ,Bad_J,Bad_NJ,Nat_J,Nat_NJ
get_instance_value_for_fields==603==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py,14.754,20.301,1,0,2,0,1,0
_get_pk_val==630==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/base.py,14.601,26.974,2,0,1,0,1,0
_build_row==866==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/cursor.py,14.046,11.520,0,2,0,0,0,2
__new__==514==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/decimal.py,13.087,14.742,1,0,0,0,1,2
__init__==29==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/manager.py,11.887,16.075,2,0,0,1,0,1
mark_safe==120==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/safestring.py,11.810,26.978,2,0,1,0,1,0
__init__==801==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py,11.671,15.221,1,0,1,1,0,1
_pq_fetch_tuples==759==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/cursor.py,11.621,9.222,0,1,0,1,0,2
names_to_path==1261==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py,10.819,10.682,1,0,0,0,2,1
modifier_for_product==289==/home/seasun/jit_test/application/saleor/saleor/discount/models.py,10.346,11.045,1,0,0,0,3,0
__init__==664==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py,9.713,11.396,1,0,2,0,0,1
get_field==596==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/options.py,9.189,11.607,1,0,0,0,3,0
__new__==23==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/manager.py,8.901,13.698,2,0,1,0,1,0
related_fields==579==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py,8.368,19.661,2,0,1,0,1,0
smart_split==349==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/text.py,8.365,14.971,1,0,2,0,1,0
__init__==457==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/base.py,8.338,9.739,1,0,1,0,2,0
parse==466==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py,8.328,8.792,1,0,2,0,1,0
format_html==98==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/html.py,8.113,9.701,2,0,0,0,1,1
__get__==463==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related_descriptors.py,7.945,21.430,2,0,1,0,0,1
build_filter==1101==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py,7.547,7.389,0,0,0,0,1,3
ugettext==474==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/gettext.py,7.534,10.889,2,0,1,0,0,1
get_foreign_related_value==600==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py,7.457,9.141,2,0,0,0,1,1
_record==100==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/graphene_django/debug/sql/tracking.py,6.651,5.624,1,0,0,0,0,3
trim_joins==1419==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py,6.570,7.110,1,0,1,0,2,0
escape==46==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/html.py,6.508,7.463,1,0,0,0,1,2
_get_m2m_attr==1458==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py,6.451,9.771,2,0,0,1,0,1
acquire==147==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/threading.py,6.419,10.233,2,0,1,0,1,0
__init__==127==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py,6.294,5.473,1,0,0,0,1,2
validate_key==230==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/core/cache/backends/base.py,6.239,29.069,2,0,2,0,0,0
tokenize==423==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py,6.234,4.864,1,0,1,0,0,2
release==187==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/threading.py,6.124,9.137,2,0,1,0,1,0
extend_nodelist==533==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py,5.575,8.456,2,0,1,0,0,1
get_ancestor_link==649==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/options.py,5.369,3.287,2,0,0,0,1,1
__init__==164==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/query.py,5.189,5.454,2,0,0,0,0,2
__instancecheck__==128==<builtin>/2.7/abc.py,5.146,4.851,0,2,0,0,0,2
setup_joins==1374==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py,5.122,4.217,1,0,1,0,1,1
__init__==68==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/graphene/types/objecttype.py,5.108,4.233,2,0,0,0,2,0
<setcomp>==290==/home/seasun/jit_test/application/saleor/saleor/discount/models.py,4.928,4.432,2,0,1,0,1,0
get_col==342==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/__init__.py,4.789,7.337,1,0,2,0,0,1
_get_m2m_reverse_attr==1476==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py,4.752,8.091,1,0,0,1,1,1
render==990==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py,4.689,4.396,1,0,1,0,2,0
__contains__==70==<builtin>/2.7/_weakrefset.py,4.667,6.426,0,1,0,1,0,2
split==82==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/posixpath.py,4.631,6.194,2,0,1,0,1,0
_set_creation_counter==124==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/manager.py,4.584,3.426,2,0,0,0,1,1
<genexpr>==595==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py,4.576,27.356,2,0,2,0,0,0
_add_q==1232==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py,4.565,4.385,1,0,0,0,2,1
decode==117==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/maxminddb/decoder.py,4.537,7.324,1,0,1,1,0,1
join==890==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py,4.516,5.115,2,0,0,0,1,1
create_token==391==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py,4.184,5.020,1,0,1,0,1,1
__init__==21==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/tree.py,4.123,1.871,3,0,0,0,0,1
get_default_columns==475==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/compiler.py,4.107,3.846,0,0,1,0,2,1
compile==348==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/compiler.py,3.981,6.262,1,0,1,0,1,1
__iter__==241==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/query.py,3.980,6.068,2,0,1,0,1,0
quote_name_unless_alias==331==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/compiler.py,3.860,9.033,1,0,1,0,2,0
__prepare_class__==78==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/functional.py,3.801,3.896,1,0,2,0,1,0
get_path_info==661==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py,3.772,4.706,2,0,0,0,0,2
get_queryset==825==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related_descriptors.py,3.759,4.564,2,0,0,0,1,1
get_normalized_value==23==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related_lookups.py,3.706,3.807,1,0,1,0,1,1
unescape_string_literal==395==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/text.py,3.659,10.189,2,0,1,0,1,0
pgettext==346==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/translation/trans_real.py,3.618,4.229,2,0,0,0,0,2
__iter__==48==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/query.py,3.493,4.384,1,0,1,0,2,0
update==597==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/collections.py,3.464,3.814,2,0,0,0,2,0
related_query_name==407==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py,3.382,2.393,1,0,0,0,3,0
py_scanstring==73==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/json/decoder.py,3.382,3.686,1,0,0,0,1,2
demote_joins==749==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py,3.381,5.057,2,0,1,0,1,0
normpath==329==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/posixpath.py,3.377,2.991,2,0,1,0,1,0
_clone==1071==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/query.py,3.368,3.114,1,0,0,0,1,2
split_contents==356==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py,3.359,3.646,1,0,1,0,2,0
conditional_escape==85==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/html.py,3.315,4.845,2,0,1,0,0,1
__del__==112==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/cursor.py,3.297,2.161,0,1,0,0,0,3
_fix==1638==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/decimal.py,3.212,3.435,1,0,0,0,1,2
_product_has_category_discount==281==/home/seasun/jit_test/application/saleor/saleor/discount/models.py,3.203,3.145,2,0,0,0,1,1
itervalues==595==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/six.py,3.167,2.927,1,0,0,0,3,0
_get==1576==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/pkg_resources/__init__.py,3.162,2.879,2,0,0,0,0,2
add==83==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/tree.py,3.128,3.734,2,0,0,0,1,1
_setup_prefix==1546==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/pkg_resources/__init__.py,3.127,4.908,1,0,2,0,1,0
_resolve_lookup==872==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py,3.123,3.524,1,0,1,0,2,0
get_select==165==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/compiler.py,3.098,3.255,0,0,1,0,2,1
_get_cast==899==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/cursor.py,3.090,3.166,0,2,0,0,0,2
as_sql==657==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/expressions.py,3.043,3.557,1,0,0,0,1,2
execute==76==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/backends/utils.py,3.005,2.694,1,0,0,0,1,2
_fetch_all==1085==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/query.py,2.997,4.230,2,0,1,0,1,0
__encode==236==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/json/encoder.py,2.988,2.946,1,0,1,0,2,0
__init__==45==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/datastructures.py,2.929,3.832,2,0,1,0,0,1
__init__==42==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/promise/promise.py,2.923,3.386,2,0,0,0,0,2
update_join_types==2030==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py,2.852,2.563,2,0,0,0,1,1
add_q==1214==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py,2.819,2.510,1,0,0,0,2,1
get_joining_columns==625==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py,2.817,4.877,2,0,1,0,1,0
__init__==260==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/threading.py,2.791,3.294,2,0,0,0,0,2
prefetch_one_level==1557==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/query.py,2.782,3.091,1,0,2,0,0,1
join==61==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/posixpath.py,2.703,5.482,2,0,2,0,0,0
_filter_or_exclude==805==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/query.py,2.673,2.679,1,0,1,0,0,2
as_sql==358==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/compiler.py,2.666,2.663,0,0,1,0,2,1
deepcopy==145==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/copy.py,2.572,4.099,1,0,1,1,0,1
parse==673==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/extras.py,2.528,2.158,0,1,0,1,0,2
_load_assets==23==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/webpack_loader/loader.py,2.516,1.858,1,0,0,0,1,2
table_alias==681==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py,2.514,3.143,2,0,0,0,2,0
solve_lookup_type==1010==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py,2.495,2.059,0,0,0,0,2,2
quantize==2420==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/decimal.py,2.489,2.052,1,0,0,0,1,2
__get__==32==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/functional.py,2.414,2.790,1,0,0,0,2,1
_reverse_with_prefix==337==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/urls/resolvers.py,2.387,2.193,1,0,0,0,1,2
all==153==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/manager.py,2.337,5.158,1,0,1,0,1,1
_get_path_info==1422==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py,2.321,2.315,1,0,0,0,1,2
JSONObject==147==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/json/decoder.py,2.297,2.002,1,0,1,1,0,1
render==152==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/defaulttags.py,2.257,2.234,1,0,0,0,3,0
ugettext==342==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/translation/trans_real.py,2.251,5.218,1,0,1,0,1,1
get_product_discounts==303==/home/seasun/jit_test/application/saleor/saleor/discount/models.py,2.242,2.339,2,0,1,0,0,1
__init__==139==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/__init__.py,2.228,2.300,1,0,1,0,1,1
copy==66==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/copy.py,2.213,2.751,1,0,1,0,1,1
__init__==54==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/query_utils.py,2.201,1.856,2,0,0,0,0,2
get_prep_value==942==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/__init__.py,2.200,2.599,2,0,0,0,1,1
get_nodes_by_type==970==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py,2.182,3.613,1,0,2,0,1,0
<genexpr>==156==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django_countries/__init__.py,2.150,5.780,2,0,2,0,0,0
resolve==708==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py,2.145,2.731,0,0,0,0,4,0
__init__==527==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/collections.py,2.103,1.914,2,0,0,0,0,2
sort_key==25==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django_countries/__init__.py,2.102,3.451,2,0,0,1,0,1
from_db==559==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/base.py,2.060,2.844,2,0,0,1,0,1
render_annotated==953==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py,2.053,4.013,0,0,2,0,2,0
_is_unpacked_egg==2220==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/pkg_resources/__init__.py,2.027,4.420,2,0,1,0,1,0
decode==15==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/encodings/utf_8.py,2.020,3.379,1,0,1,0,1,1
__text_cast==115==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/functional.py,2.019,4.685,1,0,1,0,1,1
reverse==30==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/urls/base.py,1.982,1.770,1,0,0,0,1,2
clone==133==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/where.py,1.966,2.199,2,0,0,0,1,1
cast==33==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/typecasts.py,1.965,3.393,0,1,0,2,0,1
parse_bits==248==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/library.py,1.964,1.898,1,0,0,0,1,2
_compile==230==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/re.py,1.922,2.015,2,0,0,1,1,0
__truediv__==1291==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/decimal.py,1.910,1.728,2,0,0,0,1,1
_fulfill==111==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/promise/promise.py,1.885,2.713,1,0,1,1,0,1
get_locale_identifier==1120==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/babel/core.py,1.874,1.515,2,0,0,0,0,2
get_lookup==150==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/query_utils.py,1.853,1.961,1,0,1,0,0,2
__init__==5444==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/decimal.py,1.842,3.437,2,0,1,0,0,1
ugettext==84==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/translation/__init__.py,1.813,4.051,2,0,1,0,0,1
quote_name==100==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/backends/postgresql/operations.py,1.807,2.704,2,0,1,0,0,1
_quote_params==86==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/graphene_django/debug/sql/tracking.py,1.805,1.519,2,0,0,0,0,2
__new__==31==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/prices/__init__.py,1.804,2.140,1,0,0,0,1,2
__getitem__==206==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/babel/localedata.py,1.791,2.193,2,0,0,0,1,1
__exit__==215==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/threading.py,1.790,4.175,1,0,1,0,2,0
_dec_from_triple==3724==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/decimal.py,1.788,1.522,2,0,0,0,1,1
send==168==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/dispatch/dispatcher.py,1.785,4.713,1,0,2,0,0,1
get_reverse_path_info==857==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py,1.783,1.568,2,0,0,0,0,2
_reconstruct==306==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/copy.py,1.778,1.570,1,0,0,0,1,2
resolve==848==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py,1.774,4.211,1,0,2,0,1,0
__init__==328==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py,1.764,1.133,3,0,0,0,0,1
__iter__==116==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django_countries/__init__.py,1.763,2.105,2,0,1,0,1,0
__init__==17==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/lookups.py,1.736,1.794,2,0,0,0,1,1
visit==33==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/graphql/language/visitor.py,1.726,1.712,0,0,1,1,1,1
get_initial_alias==870==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py,1.721,1.859,2,0,0,0,1,1
_get_flatchoices==821==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/__init__.py,1.713,1.201,2,0,1,0,1,0
get_converters==764==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/compiler.py,1.702,1.479,1,0,0,0,2,1
_decode_pointer==77==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/maxminddb/decoder.py,1.695,2.258,1,0,1,1,0,1
get_db_converters==667==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/expressions.py,1.687,1.704,1,0,0,0,1,2
__add__==1124==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/decimal.py,1.679,1.602,1,0,0,0,1,2
__getitem__==70==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/context.py,1.655,2.176,1,0,1,0,2,0
apply_converters==774==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/compiler.py,1.630,2.365,2,0,0,1,1,0
compile_filter==599==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py,1.616,2.743,2,0,1,0,0,1
__init__==74==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/cursor.py,1.611,1.678,0,1,0,0,0,3
start==753==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/tornado/ioloop.py,1.595,0.858,0,2,0,0,0,2
local_related_fields==589==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py,1.593,3.442,2,0,2,0,0,0
urljoin==251==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/urlparse.py,1.585,1.986,1,0,0,0,2,1
is_thenable==492==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/promise/promise.py,1.582,4.177,2,0,1,0,1,0
process_lhs==144==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/lookups.py,1.565,1.534,1,0,1,0,0,2
_parse_time_to_args==236==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/typecasts.py,1.563,1.381,0,1,0,0,0,3
do_translate==327==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/templatetags/i18n.py,1.556,1.691,1,0,1,0,0,2
__init__==2008==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py,1.552,1.798,2,0,0,0,1,1
prefetch_related_objects==1387==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/query.py,1.541,1.199,1,0,1,0,1,1
prepare_lookup_value==975==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py,1.535,1.425,0,0,1,0,1,2
